Name,Lat.,Long.,Diam. (km)
Ctesibius,0.8N,118.7E,36
Curie,22.9S,91.0E,151
Curtis,14.6N,56.6E,2
Curtius,67.2S,4.4E,95
Cusanus,72.0N,70.8E,63
Cuvier,50.3S,9.9E,75
Cyrano,20.5S,157.7E,80
Cyrillus,13.2S,24.0E,98
Cysatus,66.2S,6.1W,48
,,,
da Vinci,9.1N,45.0E,37
Daedalus,5.9S,179.4E,93
Dag,18.7N,5.3E,0
Daguerre,11.9S,33.6E,46
Dale,9.6S,82.9E,22
D'Alembert,50.8N,163.9E,248
Dalton,17.1N,84.3W,60
Daly,5.7N,59.6E,17
Damoiseau,4.8S,61.1W,36
Daniell,35.3N,31.1E,29
Danjon,11.4S,124.0E,71
Dante,25.5N,180.0E,54
Darney,14.5S,23.5W,15
D'Arrest,2.3N,14.7E,30
D'Arsonval,10.3S,124.6E,28
Darwin,20.2S,69.5W,120
Das,26.6S,136.8W,38
Daubrée,15.7N,14.7E,14
Davisson,37.5S,174.6W,87
Davy,11.8S,8.1W,34
Dawes,17.2N,26.4E,18
Dawson,67.4S,134.7W,45
De Forest,77.3S,162.1W,57
de Gasparis,25.9S,50.7W,30
De La Rue,59.1N,52.3E,134
De Moraes,49.5N,143.2E,53
De Morgan,3.3N,14.9E,10
De Roy,55.3S,99.1W,43
De Sitter,80.1N,39.6E,64
De Vico,19.7S,60.2W,20
De Vries,19.9S,176.7W,59
Debes,29.5N,51.7E,30
Debye,49.6N,176.2W,142
Dechen,46.1N,68.2W,12
Delambre,1.9S,17.5E,51
Delaunay,22.2S,2.5E,46
Delia,10.9S,6.1W,2
Delisle,29.9N,34.6W,25
Dellinger,6.8S,140.6E,81
Delmotte,27.1N,60.2E,32
Delporte,16.0S,121.6E,45
Deluc,55.0S,2.8W,46
Dembowski,2.9N,7.2E,26
Democritus,62.3N,35.0E,39
Demonax,77.9S,60.8E,128
Denning,16.4S,142.6E,44
Desargues,70.2N,73.3W,85
Descartes,11.7S,15.7E,48
Deseilligny,21.1N,20.6E,6
Deslandres,33.1S,4.8W,256
Deutsch,24.1N,110.5E,66
Dewar,2.7S,165.5E,50
Diana,14.3N,35.7E,50
Diderot,20.4S,121.5E,20
Dionysius,2.8N,17.3E,18
Diophantus,27.6N,34.3W,17
Dirichlet,11.1N,151.4W,47
Dobrovol'skiy,12.8S,129.7E,38
Doerfel,69.1S,107.9W,68
Dollond,10.4S,14.4E,11
Donati,20.7S,5.2E,36
Donna,7.2N,38.3E,2
Donner,31.4S,98.0E,58
Doppelmayer,28.5S,41.4W,63
Doppler,12.6S,159.6W,110
Douglass,35.9N,122.4W,49
Dove,46.7S,31.5E,30
Draper,17.6N,21.7W,8
Drebbel,40.9S,49.0W,30
Dreyer,10.0N,96.9E,61
Drude,38.5S,91.8W,24
Dryden,33.0S,155.2W,51
Drygalski,79.3S,84.9W,149
Dubyago,4.4N,70.0E,51
Dufay,5.5N,169.5E,39
Dugan,64.2N,103.3E,50
Dunér,44.8N,179.5E,62
Dunthorne,30.1S,31.6W,15
Dyson,61.3N,121.2W,63
Dziewulski,21.2N,98.9E,63
,,,
Eckert,17.3N,58.3E,2
Eddington,21.3N,72.2W,118
Edison,25.0N,99.1E,62
Edith,25.8S,102.3E,8
Egede,48.7N,10.6E,37
Ehrlich,40.9N,172.4W,30
Eichstadt,22.6S,78.3W,49
Eijkman,63.1S,143.0W,54
Eimmart,24.0N,64.8E,46
Einstein,16.3N,88.7W,198
Einthoven,4.9S,109.6E,69
Elger,35.3S,29.8W,21
Ellerman,25.3S,120.1W,47
Ellison,55.1N,107.5W,36
Elmer,10.1S,84.1E,16
Elvey,8.8N,100.5W,74
Emden,63.3N,177.3W,111
Encke,4.6N,36.6W,28
Endymion,53.9N,57.0E,123
Engelhardt,5.7N,159.0W,43
Eötvös,35.5S,133.8E,99
Epigenes,67.5N,4.6W,55
Epimenides,40.9S,30.2W,27
Eppinger,9.4S,25.7W,6
Eratosthenes,14.5N,11.3W,58
Erro,5.7N,98.5E,61
Esclangon,21.5N,42.1E,15
Esnault-Pelterie,47.7N,141.4W,79
Espin,28.1N,109.1E,75
Euclides,7.4S,29.5W,11
Euctemon,76.4N,31.3E,62
Eudoxus,44.3N,16.3E,67
Euler,23.3N,29.2W,27
Evans,9.5S,133.5W,67
Evdokimov,34.8N,153.0W,50
Evershed,35.7N,159.5W,66
Ewen,7.7N,121.4E,3
,,,
Fabbroni,18.7N,29.2E,10
Fabricius,42.9S,42.0E,78
Fabry,42.9N,100.7E,184
Fahrenheit,13.1N,61.7E,6
Fairouz,26.1S,102.9E,3
Falcon,20.4N,30.3E,0
Faraday,42.4S,8.7E,69
Faustini,87.3S,77.0E,39
Fauth,6.3N,20.1W,12
Faye,21.4S,3.9E,36
Fechner,59.0S,124.9E,63
Fedorov,28.2N,37.0W,6
Felix,28.2N,37.0W,6
Fényi,44.9S,105.1W,38
Feoktistov,30.9N,140.7E,23
Fermat,22.6S,19.8E,38
Fermi,19.3S,122.6E,183
Fernelius,38.1S,4.9E,65
Fersman,18.7N,126.0W,151
Fesenkov,23.2S,135.1E,35
Feuillée,27.4N,9.4W,9
Finsch,23.6N,21.3E,4
Finsen,42.0S,177.9W,72
Firmicus,7.3N,63.4E,56
Firsov,4.5N,112.2E,51
Fischer,8.0N,142.4E,30
Fitzgerald,27.5N,171.7W,110
Fizeau,58.6S,133.9W,111
Flammarion,3.4S,3.7W,74
Flamsteed,4.5S,44.3W,20
Fleming,15.0N,109.6E,106
Florensky,25.3N,131.5E,0
Focas,33.7S,93.8W,22
Fontana,16.1S,56.6W,31
Fontenelle,63.4N,18.9W,38
Foster,23.7N,141.5W,33
Foucault,50.4N,39.7W,23
Fourier,30.3S,53.0W,51
Fowler,42.3N,145.0W,146
Fox,0.5N,98.2E,24
Fra Mauro,6.1S,17.0W,101
Fracastorius,21.5S,33.2E,112
Franck,22.6N,35.5E,12
Franklin,38.8N,47.7E,56
Franz,16.6N,40.2E,25
Fraunhofer,39.5S,59.1E,56
Fredholm,18.4N,46.5E,14
Freud,25.8N,52.3W,2
Freundlich,25.0N,171.0E,85
Fridman,12.6S,126.0W,102
Froelich,80.3N,109.7W,58
Frost,37.7N,118.4W,75
Fryxell,21.3S,101.4W,18
Furnerius,36.0S,60.6E,135
,,,
G. Bond,32.4N,36.2E,20
Gadomski,36.4N,147.3W,65
Gagarin,20.2S,149.2E,265
Galen,21.9N,5.0E,10
Galilaei,10.5N,62.7W,15
Galle,55.9N,22.3E,21
