Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Spalte1,Spalte2,Spalte3
# PhotoID, X, Y, Z, Omega, Phi, Kappa, r11, r12, r13, r21, r22, r23, r31, r32, r33, X, Y, GroundHeight,Capture Time,0.00,Interval, X, Y,Hor. Distance,Distance Sum,hor. Speed,vert Speed,relative altitude
HNM_0133_0678747626_525ECM_N0090001HELI01028_0000LUJ01,77.4507364173139,18.4371673325548,-2559.48,12.7242138201979,-3.6884444559064,57.2447033277018,0.539931489847597,0.812669194914848,0.219186600656628,-0.839246985645976,0.539681170321058,0.0663982792324922,-0.0643310450334626,-0.219802215724379,0.973421030493772,802.737966283795,-1060.66932604426,-2569.74,45203.79974,17.43,0.87,802.74,-1060.67,2.00,6.97,2.30,-0.02,10.25
HNM_0133_0678747627_423ECM_N0090001HELI01055_0000LUJ01,77.4507128062581,18.4371310162138,-2559.50,11.3205419774544,-2.95020951526325,56.8387500544636,0.54627221192657,0.815321095009248,0.191932755176844,-0.836024941695799,0.544812623291581,0.0651268175537659,-0.0514681196410727,-0.196037541137069,0.97924476772947,801.41043429948,-1062.82207069023,-2569.79,45204.67329,18.30,0.87,801.41,-1062.82,2.53,9.50,2.90,-0.02,10.29
HNM_0133_0678747628_317ECM_N0090001HELI01082_0000LUJ01,77.4506849990429,18.4370883544115,-2559.47,12.2658702962731,-3.09451839417462,57.4560517761975,0.537161954119383,0.817566268698787,0.207466699334107,-0.841749868105155,0.535334126142627,0.0698178553957611,-0.053983280667255,-0.212138562437509,0.975747424149994,799.846971957858,-1065.35095899209,-2569.57,45205.54319,19.17,0.87,799.85,-1065.35,2.97,12.47,3.42,0.04,10.10
HNM_0133_0678747629_214ECM_N0090001HELI01109_0000LUJ01,77.4506525098586,18.4370388981411,-2559.34,11.9002782812772,-3.05550767325439,57.73592132898,0.53306341004916,0.821555518349596,0.202212588965395,-0.844394545751872,0.531643884812162,0.06597447117122,-0.0533033954945751,-0.205915783783466,0.977116900896505,798.020262838869,-1068.2826077183,-2569.48,45206.41676,20.04,0.87,798.02,-1068.28,3.45,15.92,3.95,0.14,10.14
HNM_0133_0678747630_108ECM_N0090001HELI01136_0000LUJ01,77.450615782896,18.436983109925,-2559.16,13.3025919712014,-4.55342291640906,57.4792656922786,0.535907963337188,0.810752353008834,0.235548884358271,-0.840535606703585,0.538582546575071,0.0585553958926762,-0.0793885929792435,-0.229367527377678,0.970096896546642,795.955282199065,-1071.58959890441,-2569.27,45207.28666,20.91,0.87,795.96,-1071.59,3.90,19.82,4.48,0.21,10.11
HNM_0133_0678747631_006ECM_N0090001HELI01163_0000LUJ01,77.4505749840802,18.4369218087086,-2558.88,6.73467101082086,0.0383587978340364,57.3674930783731,0.539248545156254,0.836378002738132,0.0984014384175164,-0.842146399584811,0.53546166023231,0.0637985273152815,0.0006694872692986,-0.117271680115155,0.993099644965078,793.661356138497,-1075.22338893035,-2568.92,45208.16032,21.79,0.87,793.66,-1075.22,4.30,24.12,4.92,0.32,10.04
HNM_0133_0678747631_903ECM_N0090001HELI01190_0000LUJ01,77.450533046041,18.436859174944,-2558.54,8.44945256956938,-1.33341063784877,56.719100720815,0.548595559456057,0.825040100814853,0.135468609620506,-0.835763964908596,0.545646490746444,0.0613881266724652,-0.0232703052270434,-0.146897035992929,0.988878027721889,791.303373441992,-1078.93616980854,-2568.80,45209.03369,22.66,0.87,791.30,-1078.94,4.40,28.52,5.04,0.39,10.27
HNM_0133_0678747632_800ECM_N0090001HELI01217_0000LUJ01,77.4504894166436,18.4367943397686,-2558.27,2.08205211078396,4.23842464403778,56.6860998481473,0.547723514725392,0.836597170199597,-0.0102042261289619,-0.83338868745657,0.546619124368611,0.0816751399993252,0.0739070161505642,-0.0362313081259935,0.996606765617814,788.850290150137,-1082.77944546591,-2568.92,45209.90603,23.53,0.87,788.85,-1082.78,4.56,33.08,5.23,0.30,10.65
HNM_0133_0678747633_697ECM_N0090001HELI01244_0000LUJ01,77.4504484938656,18.4367321167102,-2558.21,-1.59060688895338,6.81104363760095,57.8400424033116,0.528528254915449,0.844486921908119,-0.0866009381137463,-0.840590878372221,0.534866508840959,0.0855850040468776,0.118595358060293,0.0275618658010647,0.992560065991029,786.549392566894,-1086.46787633282,-2569.14,45210.77949,24.41,0.87,786.55,-1086.47,4.35,37.42,4.98,0.07,10.94
HNM_0133_0678747634_588ECM_N0090001HELI01271_0000LUJ01,77.4504126902216,18.4366760675137,-2558.33,-4.50173020689597,9.0892747691144,58.8850730102848,0.510267684621433,0.847083924124313,-0.148578987482206,-0.845382368318038,0.525777529839328,0.094268979272285,0.157973229909584,0.0775036425351091,0.98439709671744,784.536326072703,-1089.79033071429,-2569.56,45211.64697,25.27,0.87,784.54,-1089.79,3.88,41.31,4.48,-0.15,11.23
HNM_0133_0678747635_482ECM_N0090001HELI01298_0000LUJ01,77.4503833236156,18.4366282907943,-2558.68,-5.34587480748927,9.90276769359042,59.6434276233536,0.497850227610431,0.851046188826922,-0.166929731777814,-0.850040687432525,0.517007613006533,0.100667560825358,0.171976686145192,0.0917796958834488,0.980816245198896,782.885190472582,-1092.6224083069,-2569.85,45212.51685,26.14,0.87,782.89,-1092.62,3.28,44.59,3.77,-0.40,11.17
HNM_0133_0678747636_380ECM_N0090001HELI01325_0000LUJ01,77.4503605290191,18.436589431086,-2559.15,-5.24600357280577,8.05955153895056,59.6563991983473,0.500194735088644,0.852920518361672,-0.149438336270376,-0.854487300904091,0.51413138021979,0.0742992359781376,0.140202280948787,0.0905290739538981,0.98597556115038,781.603573131291,-1094.92590415405,-2570.05,45213.39042,27.02,0.87,781.60,-1094.93,2.64,47.22,3.02,-0.54,10.90
HNM_0133_0678747637_273ECM_N0090001HELI01352_0000LUJ01,77.4503432793414,18.436558882988,-2559.65,-5.96763674913002,7.55306759012464,59.5143739288439,0.502920428488795,0.85015342740215,-0.155917261664717,-0.854279467145962,0.516349524359175,0.0599146117976647,0.131444416471216,0.103064632975771,0.985951340994124,780.633721501917,-1096.73670776726,-2570.30,45214.2603,27.89,0.87,780.63,-1096.74,2.05,49.28,2.36,-0.57,10.65
HNM_0133_0678747638_171ECM_N0090001HELI01379_0000LUJ01,77.4503310350499,18.4365369140979,-2560.24,-7.73101183918303,9.1012355948127,59.7813899125589,0.49696428697441,0.845547481952482,-0.195130605584654,-0.853232551669406,0.517113066512523,0.0677369117522307,0.158179360991662,0.132828958460995,0.978435361968504,779.94529545425,-1098.03895979402,-2570.34,45215.13384,28.76,0.87,779.95,-1098.04,1.47,50.75,1.69,-0.68,10.11
HNM_0133_0678747639_065ECM_N0090001HELI01406_0000LUJ01,77.450324216983,18.4365244348365,-2560.94,-6.33454496871039,9.0996675253252,60.1632982337119,0.491268172041126,0.853469180444365,-0.173913602604842,-0.856529871796557,0.509628635463855,0.0814569373069139,0.158152337508948,0.108944995051966,0.981386175872466,779.561955830686,-1098.77869357401,-2570.34,45216.00374,29.63,0.87,779.56,-1098.78,0.83,51.58,0.96,-0.80,9.41
HNM_0133_0678747639_964ECM_N0090001HELI01433_0000LUJ01,77.4503230121435,18.4365207051974,-2561.42,-3.60499046935762,5.33944540606328,59.7241516160473,0.501976004185703,0.858949359028618,-0.101124130879238,-0.859860836556868,0.508219107195997,0.048504441411348,0.0930560743717362,0.0626046140889798,0.993690711095405,779.494221731409,-1098.9997719825,-2570.34,45216.87901,30.51,0.88,779.49,-1099.00,0.23,51.81,0.26,-0.56,8.92
HNM_0133_0678747640_857ECM_N0090001HELI01460_0000LUJ01,77.4503234095105,18.4365219507827,-2561.75,9.27533743482718,-4.70607413456142,58.8372231667163,0.515726644878473,0.837669563530732,0.17982138386918,-0.852815796463148,0.52202097117761,0.0141181781300866,-0.0820441653338119,-0.160635637344326,0.983597960017029,779.516560980678,-1098.92593858201,-2570.34,45217.7479,31.37,0.87,779.52,-1098.93,0.08,51.89,0.09,-0.37,8.60
HNM_0133_0678747641_760ECM_N0090001HELI01487_0000LUJ01,77.4503176676204,18.4365183966392,-2561.82,11.3388670142933,-1.91835895038722,58.1327362033599,0.527657288514391,0.829222138586196,0.184305265134169,-0.848797491644651,0.523237954658395,0.0759266816254268,-0.0334754246483861,-0.196501113695153,0.979931991651041,779.193696838813,-1099.13663407286,-2570.34,45218.62661,32.25,0.88,779.19,-1099.14,0.39,52.28,0.44,-0.08,8.52
HNM_0133_0678747642_651ECM_N0090001HELI01514_0000LUJ01,77.4503065631902,18.4365074201627,-2561.77,9.6772936971428,-2.01677930480951,57.7752788483607,0.532911020573562,0.830770725099319,0.160704220446126,-0.845439149352168,0.530657907433799,0.0602895515049119,-0.0351921709180728,-0.167994605853681,0.985159542160629,778.569317794543,-1099.78730914755,-2570.94,45219.49382,33.12,0.87,778.57,-1099.79,0.90,53.18,1.04,0.05,9.17
HNM_0133_0678747643_545ECM_N0090001HELI01541_0000LUJ01,77.4502912306761,18.4364905910067,-2561.71,11.2628076301846,-1.95933986382501,57.8721983872707,0.531498638875985,0.827003508180901,0.183233169293822,-0.846368845429532,0.52722288055215,0.0754706016179446,-0.0341902670252245,-0.195195367974695,0.980168247782985,777.707209818999,-1100.78491814544,-2570.94,45220.36402,33.99,0.87,777.71,-1100.78,1.32,54.50,1.52,0.07,9.23
HNM_0133_0678747644_439ECM_N0090001HELI01568_0000LUJ01,77.4502719477432,18.4364676276295,-2561.65,13.4779918993381,-2.89576244652068,57.6970468644463,0.533713542975832,0.815663846660586,0.22325398830713,-0.844155007724046,0.529630668000624,0.0830281786361043,-0.0505190753933618,-0.232774235610535,0.971217781065262,776.622987802864,-1102.14614810299,-2571.37,45221.23398,34.86,0.87,776.62,-1102.15,1.74,56.24,2.00,0.06,9.72
HNM_0133_0678747645_336ECM_N0090001HELI01595_0000LUJ01,77.4502485878981,18.436437246599,-2561.60,14.0088936941785,-2.21428122910237,57.5847022904103,0.535651946499407,0.814063567323259,0.224449327395577,-0.843554493687481,0.528004628170489,0.098116913986332,-0.0386368786401553,-0.241891754690965,0.969533687203014,775.309544296955,-1103.94707454406,-2571.65,45222.1075,35.73,0.87,775.31,-1103.95,2.23,58.47,2.55,0.07,10.05
HNM_0133_0678747646_230ECM_N0090001HELI01622_0000LUJ01,77.4502213978387,18.4363988283753,-2561.57,13.8281262605355,-2.31842661697414,57.5140571887818,0.536653026686677,0.813882473318436,0.222707989468484,-0.842832766742756,0.529681932464963,0.0952364306604072,-0.040453136501141,-0.238814509704182,0.970222229028984,773.780754232136,-1106.22441936181,-2571.97,45222.97745,36.60,0.87,773.78,-1106.22,2.74,61.21,3.15,0.03,10.40
HNM_0133_0678747647_128ECM_N0090001HELI01649_0000LUJ01,77.4501904054351,18.4363528586013,-2561.78,14.7294075382284,-3.08102159524558,57.4671230320212,0.537006116699104,0.808027907679522,0.242312465710706,-0.84186434582582,0.531631796291338,0.0929088607147307,-0.053748059081354,-0.253886851930341,0.965739412347808,772.038182262938,-1108.94939600861,-2572.16,45223.85095,37.48,0.87,772.04,-1108.95,3.23,64.44,3.70,-0.25,10.38
HNM_0133_0678747648_022ECM_N0090001HELI01676_0000LUJ01,77.450154995604,18.4362986708413,-2562.15,16.1908883891616,-4.16808159081352,57.8055547142167,0.531385061086254,0.801883115262052,0.27315450996091,-0.84400660923765,0.5288131628537,0.0894957113823429,-0.0726826005143148,-0.278100895809944,0.957798063963476,770.047243318543,-1112.16150975732,-2572.61,45224.72087,38.35,0.87,770.05,-1112.16,3.78,68.22,4.34,-0.42,10.46
